angle_deg,hrp_current,hrp_original_rebuilt,abs_diff
-59.0,0.489548173125,0.489548173125,5.551115123126e-17
-58.0,0.423807836929,0.423807836929,5.551115123126e-17
-57.0,0.396114647790,0.396114647790,1.110223024625e-16
-56.0,0.371948277741,0.371948277741,0.000000000000e+00
-55.0,0.371377837145,0.371377837145,5.551115123126e-17
-54.0,0.403671044708,0.403671044708,0.000000000000e+00
-53.0,0.451874786514,0.451874786514,5.551115123126e-17
-52.0,0.507734516198,0.507734516198,0.000000000000e+00
-51.0,0.569589023876,0.569589023876,1.110223024625e-16
-50.0,0.627189830551,0.627189830551,1.110223024625e-16
-49.0,0.691848971502,0.691848971502,1.110223024625e-16
-48.0,0.754507649392,0.754507649392,1.110223024625e-16
-47.0,0.797482947055,0.797482947055,2.220446049250e-16
-46.0,0.847576575642,0.847576575642,1.110223024625e-16
-45.0,0.874087440897,0.874087440897,0.000000000000e+00
-44.0,0.913036123670,0.913036123670,0.000000000000e+00
-43.0,0.929136789272,0.929136789272,2.220446049250e-16
-42.0,0.945513745839,0.945513745839,2.220446049250e-16
-41.0,0.950994994013,0.950994994013,2.220446049250e-16
-40.0,0.947820713221,0.947820713221,2.220446049250e-16
-39.0,0.940239066949,0.940239066949,6.661338147751e-16
-38.0,0.916411954643,0.916411954643,3.330669073875e-16
-37.0,0.903030306070,0.903030306070,0.000000000000e+00
-36.0,0.871126889875,0.871126889875,3.330669073875e-16
-35.0,0.844461186574,0.844461186574,1.110223024625e-16
-34.0,0.817804214344,0.817804214344,2.220446049250e-16
-33.0,0.791707166881,0.791707166881,0.000000000000e+00
-32.0,0.741568831344,0.741568831344,2.220446049250e-16
-31.0,0.709593881159,0.709593881159,0.000000000000e+00
-30.0,0.678526080449,0.678526080449,3.330669073875e-16
-29.0,0.653265875491,0.653265875491,2.220446049250e-16
-28.0,0.639245145218,0.639245145218,1.110223024625e-16
-27.0,0.622308952586,0.622308952586,1.110223024625e-16
-26.0,0.607036476579,0.607036476579,2.220446049250e-16
-25.0,0.621378489526,0.621378489526,2.220446049250e-16
-24.0,0.627636268532,0.627636268532,0.000000000000e+00
-23.0,0.642261514430,0.642261514430,0.000000000000e+00
-22.0,0.661501213582,0.661501213582,3.330669073875e-16
-21.0,0.682322396515,0.682322396515,2.220446049250e-16
-20.0,0.703771010382,0.703771010382,0.000000000000e+00
-19.0,0.736877404935,0.736877404935,1.110223024625e-16
-18.0,0.763868801440,0.763868801440,4.440892098501e-16
-17.0,0.793936415993,0.793936415993,1.110223024625e-16
-16.0,0.807723674664,0.807723674664,0.000000000000e+00
-15.0,0.839941901705,0.839941901705,2.220446049250e-16
-14.0,0.864830058616,0.864830058616,3.330669073875e-16
-13.0,0.883468439862,0.883468439862,1.110223024625e-16
-12.0,0.907220223781,0.907220223781,4.440892098501e-16
-11.0,0.924159190671,0.924159190671,4.440892098501e-16
-10.0,0.936190592263,0.936190592263,0.000000000000e+00
-9.0,0.950566268613,0.950566268613,2.220446049250e-16
-8.0,0.963503251752,0.963503251752,0.000000000000e+00
-7.0,0.971672006662,0.971672006662,1.110223024625e-16
-6.0,0.988011195163,0.988011195163,0.000000000000e+00
-5.0,0.987434685806,0.987434685806,2.220446049250e-16
-4.0,0.991986207371,0.991986207371,3.330669073875e-16
-3.0,0.997490234221,0.997490234221,2.220446049250e-16
-2.0,0.993459912135,0.993459912135,4.440892098501e-16
-1.0,0.995384155133,0.995384155133,1.110223024625e-16
0.0,0.991208169738,0.991208169738,1.110223024625e-16
1.0,0.993489781675,0.993489781675,3.330669073875e-16
2.0,0.985202322186,0.985202322186,1.110223024625e-16
3.0,0.986004880196,0.986004880196,0.000000000000e+00
4.0,0.971164622463,0.971164622463,1.110223024625e-16
5.0,0.964291024133,0.964291024133,1.110223024625e-16
6.0,0.952806930431,0.952806930431,3.330669073875e-16
7.0,0.947381281150,0.947381281150,2.220446049250e-16
8.0,0.932652034766,0.932652034766,2.220446049250e-16
9.0,0.914657806464,0.914657806464,1.110223024625e-16
10.0,0.897658350542,0.897658350542,0.000000000000e+00
11.0,0.875395369488,0.875395369488,3.330669073875e-16
12.0,0.854111146673,0.854111146673,4.440892098501e-16
13.0,0.827721407456,0.827721407456,3.330669073875e-16
14.0,0.806369930588,0.806369930588,4.440892098501e-16
15.0,0.783635431584,0.783635431584,3.330669073875e-16
16.0,0.753880414634,0.753880414634,1.110223024625e-16
17.0,0.718081748694,0.718081748694,2.220446049250e-16
18.0,0.695869499920,0.695869499920,1.110223024625e-16
19.0,0.669333834592,0.669333834592,1.110223024625e-16
20.0,0.648940599904,0.648940599904,0.000000000000e+00
21.0,0.621583752486,0.621583752486,2.220446049250e-16
22.0,0.603951703558,0.603951703558,1.110223024625e-16
23.0,0.596286997288,0.596286997288,0.000000000000e+00
24.0,0.593691483964,0.593691483964,1.110223024625e-16
25.0,0.591388027208,0.591388027208,2.220446049250e-16
26.0,0.598988696227,0.598988696227,0.000000000000e+00
27.0,0.611431808906,0.611431808906,0.000000000000e+00
28.0,0.638622978318,0.638622978318,3.330669073875e-16
29.0,0.664451412564,0.664451412564,2.220446049250e-16
30.0,0.700052595579,0.700052595579,2.220446049250e-16
31.0,0.735366209905,0.735366209905,2.220446049250e-16
32.0,0.760486657130,0.760486657130,3.330669073875e-16
33.0,0.804915279708,0.804915279708,2.220446049250e-16
34.0,0.836436037664,0.836436037664,1.110223024625e-16
35.0,0.862486665131,0.862486665131,2.220446049250e-16
36.0,0.892792422925,0.892792422925,0.000000000000e+00
37.0,0.914769917471,0.914769917471,3.330669073875e-16
38.0,0.934394331757,0.934394331757,3.330669073875e-16
39.0,0.940001269893,0.940001269893,3.330669073875e-16
40.0,0.936324836530,0.936324836530,0.000000000000e+00
41.0,0.944712203074,0.944712203074,1.110223024625e-16
42.0,0.932688980553,0.932688980553,2.220446049250e-16
43.0,0.905553265631,0.905553265631,0.000000000000e+00
44.0,0.884540038789,0.884540038789,5.551115123126e-16
45.0,0.834091902590,0.834091902590,1.110223024625e-16
46.0,0.793842071178,0.793842071178,1.110223024625e-16
47.0,0.743562710683,0.743562710683,0.000000000000e+00
48.0,0.702414836948,0.702414836948,2.220446049250e-16
49.0,0.645696001797,0.645696001797,2.220446049250e-16
50.0,0.582712357084,0.582712357084,1.110223024625e-16
51.0,0.522301302779,0.522301302779,1.110223024625e-16
52.0,0.469220991419,0.469220991419,5.551115123126e-17
53.0,0.437517383549,0.437517383549,5.551115123126e-17
54.0,0.416113700586,0.416113700586,5.551115123126e-17
55.0,0.401864724740,0.401864724740,1.110223024625e-16
56.0,0.422145851966,0.422145851966,5.551115123126e-17
57.0,0.447774970735,0.447774970735,2.220446049250e-16
58.0,0.511600862894,0.511600862894,3.330669073875e-16
59.0,0.573642581192,0.573642581192,2.220446049250e-16
60.0,0.640782396841,0.640782396841,1.110223024625e-16
61.0,0.702773419643,0.702773419643,2.220446049250e-16
62.0,0.754800654702,0.754800654702,1.110223024625e-16
63.0,0.818750980036,0.818750980036,0.000000000000e+00
64.0,0.869033340017,0.869033340017,1.110223024625e-16
65.0,0.904319345214,0.904319345214,3.330669073875e-16
66.0,0.944746106656,0.944746106656,1.110223024625e-16
67.0,0.968115938076,0.968115938076,3.330669073875e-16
68.0,0.987861070454,0.987861070454,3.330669073875e-16
69.0,0.997658263575,0.997658263575,1.110223024625e-16
70.0,0.998194663969,0.998194663969,3.330669073875e-16
71.0,0.996222649553,0.996222649553,3.330669073875e-16
72.0,0.982225598432,0.982225598432,1.110223024625e-16
73.0,0.967734792674,0.967734792674,1.110223024625e-16
74.0,0.958260979143,0.958260979143,5.551115123126e-16
75.0,0.933704368218,0.933704368218,2.220446049250e-16
76.0,0.906628858667,0.906628858667,0.000000000000e+00
77.0,0.892975849611,0.892975849611,1.110223024625e-16
78.0,0.877115233734,0.877115233734,2.220446049250e-16
79.0,0.850464098072,0.850464098072,1.110223024625e-16
80.0,0.846555167546,0.846555167546,1.110223024625e-16
81.0,0.841387385701,0.841387385701,1.110223024625e-16
